Agency_ID,Max_Lat,Min_Lat,Max_Long,Min_Long
37115,33.266567,33.158689,-117.265011,-117.387083
37125,32.997369,32.935099,-117.011242,-117.060187
37135,33.028914,32.997556,-117.101696,-117.23159
37140,33.022572,32.544127,-116.974238,-117.276603
37145,33.164824,33.100605,-117.12127,-117.21585
37150,32.871292,32.829145,-116.948616,-117.022753
37160,33.005141,32.989324,-117.247605,-117.260149
37165,32.818766,32.70292,-116.915534,-117.020275
37170,33.25788,33.148883,-117.192592,-117.279563
37175,33.304663,33.207263,-116.952163,-117.07917
37235,32.841536,32.841536,-116.705537,-116.705537
40020,42.9192838376,42.854722,-87.851389,-87.9498222767
40060,35.29106,35.250171,-120.638715,-120.691124
40070,42.9784611,42.95918,-87.876418,-87.885488
40100,43.0231383,42.9813184,-87.9805815,-88.0649242
40110,43.093526,43.0327665,-87.9096904,-88.0602641
40200,43.163214,42.959198,-87.884894,-88.052829
40210,42.980207,42.9488581,-87.94858,-88.046395
40260,43.194209731,39.4432563782,-87.872045091,-98.9573364258
40555,35.749946,35.019601,-119.982581,-121.125973
41000,37.7060721533,37.4270302456,-122.1333530512,-122.4991047875
42005,34.421124,34.39243,-119.507834,-119.592219
42025,34.441877679,34.3974544418,-119.6622401373,-119.7548773599
42035,34.96613,34.39243,-119.507834,-120.528374
43010,37.0344777867,36.978247,-121.508524,-121.6119052506
43030,37.455759,37.4006322997,-121.879574,-121.9137240001
43040,37.1609078193,37.1058004652,-121.6282220078,-121.674499591
43045,37.1852558338,36.963268,-121.50756,-121.7187995206
43050,37.430537083,37.358875444,-122.046646361,-122.100540388
43060,37.451948305,37.409411166,-122.102842111,-122.177117277
43070,37.4217628889,37.1852801111,-121.7188020278,-122.0153453333
43080,37.4004574911,37.168624,-121.9303366758,-122.1204551586
43090,37.3632797417,37.3312604942,-121.936577891,-121.9949525921
43105,37.4099800002,37.345334,-121.98798,-122.0511699998
44015,37.09177406,37.08310551,-122.08196828,-122.0874502
44020,37.11687315,37.11687315,-122.11461628,-122.11461628
44035,37.04170884,37.04170884,-122.07253679,-122.07253679
44055,36.99974077,36.95912572,-121.99778001,-122.0687162
44060,36.99956353,36.99956353,-122.00892749,-122.00892749
44065,37.00264726,36.95201824,-121.85585483,-121.99575151
44070,37.05523644,36.99323394,-121.99160078,-122.03494737
44080,36.94001337,36.90388744,-121.73876236,-121.79428678
44555,37.16680157,36.88957607,-121.7319626,-122.02619468
48032,30.195760993,29.7470286298,-81.6871738827,-82.0428820297
49002,40.413953,40.368946,-111.766869,-111.821381
49007,40.447526,40.372409,-111.842807,-111.886888
49009,40.140285,40.130868,-111.585526,-111.640909
49010,40.315982,40.262225,-111.662933,-111.731339
49011,40.048628,40.020584,-111.714388,-111.762423
49013,40.288041,40.222019,-111.63835,-111.689957
49014,40.058226,40.058226,-111.676344,-111.676344
49016,39.975638,39.966779,-111.770767,-111.78875
49017,40.130868,40.121118,-111.640909,-111.649521
49018,40.181638,40.156855,-111.607117,-111.644072
49020,40.39287,40.39287,-111.579222,-111.579222
49025,40.410099,40.3212871,-111.921727,-112.0164282
51000,20.250995,19.085013,-154.845771,-156.038221
55000,36.8656987432,36.5995097186,-76.1163378296,-76.4278612002
56020,41.601389,34.149336,-118.692392,-122.031389
57025,38.5662455,38.5404285,-121.7162951,-121.7871901
