near_schools,es,ms,hs,public_school,charter_school,anc_id,nbh_cluster,nbh_cluster_names,smd_id,ward_name,census_tract,comp_plan_area,objectid,station,stationnumber,y2015,y2016,y2017,y2018,avg_2015_2018,latitude,longitude,geography
['Center City PCS - Shaw'],1.0,0.0,0.0,0.0,1.0,6E,Cluster 7,"Shaw, Logan Circle",6E03,Ward 6,004802,CENTRAL WASHINGTON,54,Mt Vernon Sq 7th St-Convention Center ,70.0,4629.0,4422.0,4232.0,4238.0,4380.2500000000000000,38.906444602936396,-77.02191667125811,0101000020E61000009C922E15674153C0AF9F726006744340
"['Friendship PCS - Collegiate Academy', 'Friendship PCS - Collegiate Online']",0.0,0.0,1.0,0.0,1.0,7D,Cluster 30,"Mayfair, Hillbrook, Mahaning Heights",7D06,Ward 7,009602,FAR NORTHEAST AND SOUTHEAST,52,Minnesota Ave,64.0,2827.0,2209.0,1034.0,2148.0,2054.5000000000000000,38.89919901254771,-76.94674999993266,0101000020E6100000B9CC4F8D973C53C074BE07F418734340
[None],,,,,,7D,Cluster 31,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",7D03,Ward 7,007806,FAR NORTHEAST AND SOUTHEAST,21,Deanwood,65.0,1556.0,1273.0,657.0,1240.0,1181.5000000000000000,38.90818628798718,-76.93525904721834,0101000020E6100000D145C348DB3B53C050CAC2723F744340
[None],,,,,,7D,Cluster 33,"Capitol View, Marshall Heights, Benning Heights",7D05,Ward 7,007803,FAR NORTHEAST AND SOUTHEAST,6,Benning Road,90.0,3154.0,2533.0,2591.0,2604.0,2720.5000000000000000,38.89098346383309,-76.93836713208938,0101000020E6100000C6FD03350E3C53C04F3803BF0B724340
['St. Coletta Special Education PCS'],0.0,0.0,0.0,0.0,1.0,7F,Cluster 26,"Capitol Hill, Lincoln Park",7F07,Ward 7,006804,CAPITOL HILL,73,Stadium-Armory,63.0,2809.0,2422.0,2821.0,2423.0,2618.7500000000000000,38.88671687512772,-76.97709117756743,0101000020E61000002F376FA9883E53C010BE45F07F714340
"['Savoy Elementary School', 'Thurgood Marshall Academy PCS']",1.0,0.0,1.0,1.0,1.0,8A,Cluster 37,"Sheridan, Barry Farm, Buena Vista",8A06,Ward 8,007401,FAR SOUTHEAST AND SOUTHWEST,2,Anacostia,85.0,7172.0,6480.0,6292.0,6305.0,6562.2500000000000000,38.86297089635679,-76.99537301842126,0101000020E61000002B5C0831B43F53C049A090D4756E4340
[None],,,,,,8C,Cluster 43,Saint Elizabeths,8C03,Ward 8,010400,FAR SOUTHEAST AND SOUTHWEST,18,Congress Heights,86.0,2666.0,2382.0,2253.0,2223.0,2381.0000000000000000,38.84566547988376,-76.98851420982248,0101000020E610000068B41AD1433F53C07CBA35C43E6C4340
[None],,,,,,,,,,,,,1,Addison Road-Seat Pleasant ,92.0,3349.0,2822.0,2979.0,2652.0,2950.5000000000000000,38.88675560551735,-76.89411015978729,0101000020E6100000B2D3D119393953C0F09E2A3581714340
[None],,,,,,,,,,,,,11,Capitol Heights,91.0,2081.0,1826.0,2017.0,1864.0,1947.0000000000000000,38.88947364521484,-76.91181036977733,0101000020E61000003A96E1195B3A53C0036DBC45DA714340
[None],,,,,,,,,,,,,13,Cheverly,66.0,1357.0,1119.0,564.0,980.0,1005.0000000000000000,38.916639648277744,-76.91663030299408,0101000020E610000075782512AA3A53C0F1C8AF7254754340
