objectid,fromdate,geography,latitude,longitude,address,ward_name,nbh_cluster_names,comp_plan_area,crash_type,crash_on_interstate,scanner_audio_missing,scanner_audio,crash_category,national_park,boundary_street
198353499,2021-02-08,0101000020E6100000AC63AC0C463F53C013D4AA103A734340,38.900117,-76.988648,1245 H STREET NE,Ward 6,"Union Station, Stanton Park, Kingman Park",CAPITOL HILL,Cars Only,0,,,MPD and DCFEMS,0,0
198354881,2021-02-14,0101000020E6100000531634C26B3F53C0F4D5FC3598734340,38.903198,-76.990864,1122 FLORIDA AVENUE NE,Ward 5,"Ivy City, Arboretum, Trinidad, Carver Langston",CAPITOL HILL,Cars Only,0,,,MPD and DCFEMS,0,0
198353585,2021-02-10,0101000020E6100000E22A73C8403F53C01C41C60C3A734340,38.900161,-76.988327,1300 H STREET NE,Ward 6,"Union Station, Stanton Park, Kingman Park",CAPITOL HILL,Cars Only,0,,,MPD Only,0,0
198351962,2021-02-05,0101000020E6100000F44F751BCC4153C0A83B7F5C2D734340,38.899814,-77.028079,1200 H STREET NW,Ward 2,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",CENTRAL WASHINGTON,Car/Pedestrian,0,,,MPD Only,0,0
198360342,2021-02-28,0101000020E6100000B4E20FB4434153C07B04950B50744340,38.908685,-77.019755,1405 6TH STREET NW,Ward 6,"Shaw, Logan Circle",NEAR NORTHWEST,Cars Only,0,,,MPD Only,0,0
198353571,2021-02-10,0101000020E61000008B7F91C6AA4253C0C6553947AD734340,38.903715,-77.041729,1800 L STREET NW,Ward 2,"Dupont Circle, Connecticut Avenue/K Street",CENTRAL WASHINGTON,Car/Bicycle,0,,,MPD and DCFEMS,0,0
198356159,2021-02-19,0101000020E6100000E63184FB7C4153C0B9D4F81AF0764340,38.929172,-77.023516,3100 GEORGIA AVENUE NW,Ward 1,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",MID-CITY,Cars Only,0,,,MPD Only,0,0
198354909,2021-02-12,0101000020E6100000C1CAE6F7A14153C032E211CC68734340,38.901443,-77.025404,950 NEW YORK AVENUE NW,Ward 2,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",CENTRAL WASHINGTON,Cars Only,0,,,MPD Only,0,0
198353506,2021-02-06,0101000020E610000092C3F4BD584053C0A4CCB8AD4D744340,38.908371,-77.005277,100 NEW YORK AVENUE NE,Ward 5,"Edgewood, Bloomingdale, Truxton Circle, Eckington",CENTRAL WASHINGTON,Cars Only,0,,,MPD Only,0,0
198357816,2021-02-24,0101000020E6100000F4F9A436564053C05670E56D4F744340,38.908686,-77.005271,100 NEW YORK AVENUE NE,Ward 5,"Edgewood, Bloomingdale, Truxton Circle, Eckington",CENTRAL WASHINGTON,Cars Only,0,,,MPD Only,0,0
198354938,2021-02-12,0101000020E6100000CFB41F6F3B4153C08C83BA3C2D734340,38.899656,-77.019251,500 H STREET NW,Ward 2,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",CENTRAL WASHINGTON,Cars Only,0,,,MPD Only,0,0
198351771,2021-02-02,0101000020E61000002D5FD7CEA94153C0549EA01886734340,38.902522,-77.025987,10TH STREET NW & K STREET NW,Ward 2,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",CENTRAL WASHINGTON,Cars Only,0,,,MPD and DCFEMS,0,0
198359298,2021-02-23,0101000020E61000007729CBAE0F4053C05D291D2A3A734340,38.900355,-77.000955,360 H STREET NE,Ward 6,"Union Station, Stanton Park, Kingman Park",CAPITOL HILL,Cars Only,0,,,MPD Only,0,0
198353316,2021-02-09,0101000020E6100000A014D4E9F33F53C0BDCCFE7B71724340,38.894076,-76.99926,500 C STREET NE,Ward 6,"Union Station, Stanton Park, Kingman Park",CAPITOL HILL,Cars Only,0,,,MPD Only,0,0
198354948,2021-02-13,0101000020E6100000184CB393DD4253C0DDBBD31949734340,38.900521,-77.044851,1924 PENNSYLVANIA AVENUE NW,Ward 2,"Dupont Circle, Connecticut Avenue/K Street",NEAR NORTHWEST,Cars Only,0,,,MPD Only,0,0
198356028,2021-02-17,0101000020E610000047C7157CEF4153C0C2C5633D52774340,,,1300 MONROE STREET NW,Ward 1,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",MID-CITY,Cars Only,0,,,MPD Only,0,0
198356149,2021-02-19,0101000020E6100000D0C4516AC13F53C0C75DBBC6B0704340,,,723 7TH STREET SE,Ward 6,"Capitol Hill, Lincoln Park",CAPITOL HILL,Cars Only,0,,,MPD and DCFEMS,0,0
198354574,2021-02-09,0101000020E61000009F3AC7E2044153C0D0927BCC0B754340,38.914366,-77.015893,301 RHODE ISLAND AVENUE NW,Ward 1,"Edgewood, Bloomingdale, Truxton Circle, Eckington",MID-CITY,Cars Only,0,,,MPD Only,0,0
198351721,2021-02-01,0101000020E610000047ED5755454253C08D3B65D769774340,38.932881,-77.035498,1518 NEWTON STREET NW,Ward 1,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",MID-CITY,Cars Only,0,,,MPD Only,0,0
198354588,2021-02-10,0101000020E6100000875A108C873F53C095D36E2DF6704340,38.882505,-76.992704,508 10TH STREET SE,Ward 6,"Capitol Hill, Lincoln Park",CAPITOL HILL,Cars Only,0,,,MPD Only,0,0
198359478,2021-02-25,0101000020E61000008B20C667454153C0AE4E4531A9734340,38.9035,-77.019806,600 NEW YORK AVENUE NW,Ward 6,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",CENTRAL WASHINGTON,Cars Only,0,,,MPD Only,0,0
198357822,2021-02-23,0101000020E6100000A6DAE122934153C0C0D4709391774340,38.934237,-77.024618,809 OTIS PLACE NW,Ward 1,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",MID-CITY,Cars Only,0,,,MPD Only,0,0
198353512,2021-02-09,0101000020E610000073560EE5504253C072B293251D744340,38.90705,-77.036271,1600 MASSACHUSETTS AVENUE NW,Ward 2,"Dupont Circle, Connecticut Avenue/K Street",CENTRAL WASHINGTON,Cars Only,0,,,MPD Only,0,0
198356143,2021-02-17,0101000020E610000050A0B3BE703F53C09FC786023A734340,38.900148,-76.991254,1100 H STREET NE,Ward 6,"Union Station, Stanton Park, Kingman Park",CAPITOL HILL,Cars Only,0,,,MPD Only,0,0
198357648,2021-02-21,0101000020E61000005F935BBC514153C00D24E5CE75774340,38.933275,-77.020611,MANOR PLACE NW & WARDER STREET NW,Ward 1,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",MID-CITY,Cars Only,0,,,MPD Only,0,0
198350201,2021-02-01,0101000020E6100000B9523B10864153C0BCAA4E5C6E774340,38.933048,-77.023801,3500 GEORGIA AVENUE NW,Ward 1,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",MID-CITY,Cars Only,0,,,MPD Only,0,0
198357516,2021-02-24,0101000020E6100000029DBE75CA4153C0C482DCD61F774340,38.930649,-77.027996,3232 11TH STREET NW,Ward 1,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",MID-CITY,Car/Pedestrian,0,,,MPD and DCFEMS,0,0
198357699,2021-02-22,0101000020E6100000AB6A8283354153C05D91BC0501754340,38.91406,-77.018889,451 S STREET NW,Ward 6,"Shaw, Logan Circle",NEAR NORTHWEST,Cars Only,0,,,MPD Only,0,0
198369791,2021-02-21,0101000020E61000006F64354A834153C07236B71D47774340,38.93185,-77.023636,3300 GEORGIA AVENUE NW,Ward 1,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",MID-CITY,Cars Only,0,,,MPD Only,0,0
198353503,2021-02-08,0101000020E61000003DAF7999354053C0BE3F098E9B714340,38.887644,-77.003221,205 PENNSYLVANIA AVENUE SE,Ward 6,"Capitol Hill, Lincoln Park",CAPITOL HILL,Cars Only,0,,,MPD and DCFEMS,0,0
198356101,2021-02-16,0101000020E6100000EDBCB57A214053C00C7ED5D27C714340,38.886614,-77.002114,205 3RD STREET SE,Ward 6,"Capitol Hill, Lincoln Park",CAPITOL HILL,Cars Only,0,,,MPD Only,0,0
198353326,2021-02-09,0101000020E6100000A074D3AE604053C0C274C18BAB724340,38.895852,-77.005937,405 1ST ST NE,Ward 6,"National Mall, Potomac River",CENTRAL WASHINGTON,Cars Only,0,,,MPD Only,0,0
198351821,2021-02-02,0101000020E61000003AD71502883F53C0AF6E3B123A734340,38.900198,-76.992674,H ST NE & 10TH ST NE,Ward 6,"Union Station, Stanton Park, Kingman Park",CAPITOL HILL,Cars Only,0,,,MPD Only,0,0
198357607,2021-02-20,0101000020E61000009BED20E8893F53C0F4F084123A734340,38.900121,-76.99279,916 H STREET NE,Ward 6,"Union Station, Stanton Park, Kingman Park",CAPITOL HILL,Cars Only,0,,,MPD Only,0,0
198353486,2021-02-08,0101000020E6100000DDEE8174AD3F53C0CEBC89F53A714340,38.884604,-76.99496,8TH STREET SE & D STREET SE,Ward 6,"Capitol Hill, Lincoln Park",CAPITOL HILL,Cars Only,0,,,MPD Only,0,0
198357636,2021-02-20,0101000020E6100000B7CC0D71AD3F53C02BCB342A8F734340,38.902799,-76.994959,8TH STREET NE & WEST VIRGINIA AVENUE NE,Ward 6,"Union Station, Stanton Park, Kingman Park",CAPITOL HILL,Cars Only,0,,,MPD Only,0,0
198351803,2021-02-02,0101000020E6100000E2607C6FBA4153C05959B3868D744340,38.910443,-77.026933,1018 RHODE ISLAND AVENUE NW,Ward 6,"Shaw, Logan Circle",NEAR NORTHWEST,Cars Only,0,,,MPD and DCFEMS,0,0
198351922,2021-02-05,0101000020E610000001C3C2416B4253C055E1D0E43B764340,38.923702,-77.037615,2517 MOZART PLACE NW,Ward 1,"Kalorama Heights, Adams Morgan, Lanier Heights",MID-CITY,Cars Only,0,,,MPD Only,0,0
198357514,2021-02-21,0101000020E610000026B9499B204253C080BAAEFBB7764340,38.927466,-77.033235,1419 COLUMBIA ROAD NW,Ward 1,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",MID-CITY,Cars Only,0,,,MPD Only,0,0
198353440,2021-02-06,0101000020E6100000939501250B4353C0E3B7A197D0744340,38.912608,-77.047553,R STREET NW & FLORIDA AVENUE NW,Ward 2,"Dupont Circle, Connecticut Avenue/K Street",NEAR NORTHWEST,Cars Only,0,,,MPD Only,0,0
198351945,2021-02-06,0101000020E6100000540B611E764353C00C57520367744340,38.909419,-77.054083,2517 P STREET NW,Ward 2,"Georgetown, Burleith/Hillandale",NEAR NORTHWEST,Cars Only,0,,,MPD and DCFEMS,0,0
198351639,2021-02-05,0101000020E6100000619EAC2F364153C06976833CBF734340,38.904263,-77.018759,1101 5TH STREET NW,Ward 6,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",NEAR NORTHWEST,Cars Only,0,,,MPD Only,0,0
198359176,2021-02-26,0101000020E610000086AAEAC5094153C043A81D70EC734340,38.905715,-77.016221,401 M STREET NW,Ward 6,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",NEAR NORTHWEST,Cars Only,0,,,MPD Only,0,0
198359409,2021-02-24,0101000020E61000005A957172AF4253C02D7C887F54754340,38.916769,-77.042065,1805 FLORIDA AVENUE NW,Ward 1,"Kalorama Heights, Adams Morgan, Lanier Heights",NEAR NORTHWEST,Car/Bicycle,0,,,MPD and DCFEMS,0,0
198359422,2021-02-26,0101000020E61000003A24ED15AB4253C0C446B1F57A734340,38.902181,-77.041236,1776 K STREET NW,Ward 2,"Dupont Circle, Connecticut Avenue/K Street",CENTRAL WASHINGTON,Cars Only,0,,,MPD Only,0,0
198355987,2021-02-15,0101000020E6100000863A0668484453C01ECA7935DA734340,38.905247,-77.066924,3329 M STREET NW,Ward 2,"Georgetown, Burleith/Hillandale",NEAR NORTHWEST,Cars Only,0,,,MPD Only,0,0
198359472,2021-02-27,0101000020E61000006F0969D4664153C0EBAD8F0FA5754340,38.919092,-77.021731,2201 GEORGIA AVENUE NW,Ward 1,"Howard University, Le Droit Park, Cardozo/Shaw",MID-CITY,Cars Only,0,,,MPD Only,0,0
198353553,2021-02-08,0101000020E6100000E151051A464153C0B29EE1A02C754340,38.915398,-77.019915,600 FLORIDA AVENUE NW,Ward 6,"Howard University, Le Droit Park, Cardozo/Shaw",MID-CITY,Cars Only,0,,,MPD and DCFEMS,0,0
198353305,2021-02-09,0101000020E610000043CD7BFDAB4253C024A536A199754340,38.918729,-77.041745,1802 WYOMING AVENUE NW,Ward 1,"Kalorama Heights, Adams Morgan, Lanier Heights",MID-CITY,Cars Only,0,,,MPD Only,0,0
198356068,2021-02-17,0101000020E61000008BE266ADAD3F53C064B378461B714340,38.883637,-76.994915,400 8TH STREET SE,Ward 6,"Capitol Hill, Lincoln Park",CAPITOL HILL,Cars Only,0,,,MPD and DCFEMS,0,0
198357593,2021-02-19,0101000020E6100000CED706B2AD3F53C0C042B6F20C714340,38.8832,-76.995066,413 8TH STREET SE,Ward 6,"Capitol Hill, Lincoln Park",CAPITOL HILL,Car/Bicycle,0,,,MPD and DCFEMS,0,0
198353461,2021-02-08,0101000020E6100000B0049479EA4353C09D218A4AE0734340,38.905274,-77.061015,3077 M STREET NW,Ward 2,"Georgetown, Burleith/Hillandale",NEAR NORTHWEST,Car/Bicycle,0,,,MPD and DCFEMS,0,0
198360356,2021-02-27,0101000020E6100000232189FCD94353C0F13A02E5DD734340,38.905134,-77.060178,3034 M STREET NW,Ward 2,"Georgetown, Burleith/Hillandale",NEAR NORTHWEST,Cars Only,0,,,MPD Only,0,0
198357597,2021-02-17,0101000020E61000009D8F02818A3F53C07CA7C670BE734340,38.904113,-76.992662,1101 WEST VIRGINIA AVENUE NE,Ward 5,"Ivy City, Arboretum, Trinidad, Carver Langston",UPPER NORTHEAST,Cars Only,0,,,MPD Only,0,0
198357750,2021-02-20,0101000020E61000002E6F62FD8D3F53C0C6B51DFFB8734340,38.904037,-76.99299,1101 WEST VIRGINIA AVENUE NE,Ward 5,"Ivy City, Arboretum, Trinidad, Carver Langston",UPPER NORTHEAST,Cars Only,0,,,MPD Only,0,0
198357806,2021-02-23,0101000020E6100000A34DEDDDC33F53C0455E61A05A744340,38.909026,-76.996368,1300 6TH STREET NE,Ward 5,"Ivy City, Arboretum, Trinidad, Carver Langston",UPPER NORTHEAST,Cars Only,0,,,MPD Only,0,0
198353562,2021-02-10,0101000020E61000005536F713894153C080BD9B1376734340,38.902033,-77.023928,900 9TH STREET NW,Ward 2,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",CENTRAL WASHINGTON,Cars Only,0,,,MPD Only,0,0
198351948,2021-02-05,0101000020E6100000C7AEE581604053C0A008ADBB33744340,38.907821,-77.005897,75 NEW YORK AVENUE NE,Ward 6,"Union Station, Stanton Park, Kingman Park",CENTRAL WASHINGTON,Cars Only,0,,,MPD Only,0,0
198359315,2021-02-23,0101000020E6100000E3D81E563C4053C0CAE3A79720744340,38.906868,-77.00368,175 N STREET NE,Ward 6,"Union Station, Stanton Park, Kingman Park",CENTRAL WASHINGTON,Cars Only,0,,,MPD Only,0,0
198357616,2021-02-20,0101000020E610000092C9E1E1454053C051D57A2CC6724340,38.896665,-77.004263,1 COLUMBUS CIRCLE NE,Ward 6,"Union Station, Stanton Park, Kingman Park",CENTRAL WASHINGTON,Cars Only,0,,,MPD Only,0,0
198357819,2021-02-23,0101000020E610000089470290564053C08797FF2F4F744340,38.908895,-77.005415,100 NEW YORK AVENUE NE,Ward 5,"Edgewood, Bloomingdale, Truxton Circle, Eckington",CENTRAL WASHINGTON,Cars Only,0,,,MPD Only,0,0
198357518,2021-02-24,0101000020E6100000083128DFF73F53C01F1D29CCFD734340,,,1214 5TH STREET NE,Ward 6,"Union Station, Stanton Park, Kingman Park",CAPITOL HILL,Cars Only,0,,,MPD Only,0,0
198351936,2021-02-04,0101000020E6100000A6815247EC4153C064345CA4BC764340,,,1300 COLUMBIA ROAD NW,Ward 1,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",MID-CITY,Cars Only,0,,,MPD Only,0,0
198359362,2021-02-26,0101000020E610000065DC6DAF064253C0437B59C8DD764340,38.928953,-77.031657,1361 IRVING STREET NW,Ward 1,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",MID-CITY,Cars Only,0,,,MPD Only,0,0
198360353,2021-02-28,0101000020E61000003EA48834364153C08113FDEF2B734340,38.89977,-77.019138,500 H STREET NW,Ward 2,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",CENTRAL WASHINGTON,Cars Only,0,,,MPD Only,0,0
198353469,2021-02-08,0101000020E61000005994C15C944053C0B0F8432036744340,38.907894,-77.009186,HANOVER PLACE NW & NORTH CAPITOL STREET NW,Ward 5,"Edgewood, Bloomingdale, Truxton Circle, Eckington",NEAR NORTHWEST,Cars Only,0,,,MPD and DCFEMS,0,0
198357589,2021-02-19,0101000020E6100000C7F6E1FE634053C06046AAE345744340,38.908331,-77.006076,75 NEW YORK AVENUE NE,Ward 6,"Edgewood, Bloomingdale, Truxton Circle, Eckington",CENTRAL WASHINGTON,Cars Only,0,,,MPD Only,0,0
