anc_id,nbh_cluster,nbh_cluster_names,smd_id,ward_name,census_tract,comp_plan_area,charter_school,public_school,grades,school_name,es,ms,hs,geography
3E,Cluster 11,"Friendship Heights, American University Park, Tenleytown",3E01,Ward 3,001001,ROCK CREEK WEST,0,1,PK4-5th,Janney Elementary School,1,0,0,0101000020E6100000BE6A910E2F4553C01FC69E9349794340
6D,Cluster 9,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",6D01,Ward 6,010200,LOWER ANACOSTIA WATERFRONT AND NEAR SOUTHWEST,0,1,6th-8th,Jefferson Middle School Academy,0,1,0,0101000020E6100000DB25D467774153C0111ED5DA9F704340
8E,Cluster 38,"Douglas, Shipley Terrace",8E01,Ward 8,007404,FAR SOUTHEAST AND SOUTHWEST,0,1,6th-8th,Johnson Middle School,0,1,0,0101000020E6100000EDE2C709F53E53C0ABA407DAF86C4340
6C,Cluster 25,"Union Station, Stanton Park, Kingman Park",6C06,Ward 6,010600,CAPITOL HILL,0,1,PK3-5th,J.O. Wilson Elementary School,1,0,0,0101000020E6100000B88DD826C83F53C062FD81D18D734340
7C,Cluster 31,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",7C03,Ward 7,007804,FAR NORTHEAST AND SOUTHEAST,0,1,6th-8th,Kelly Miller Middle School,0,1,0,0101000020E610000005D17561AD3B53C0022EFD6658724340
8A,Cluster 28,Historic Anacostia,8A05,Ward 8,007503,FAR SOUTHEAST AND SOUTHWEST,0,1,PK3-5th,Ketcham Elementary School,1,0,0,0101000020E61000004CD2ACAFF33E53C0702626BBDA6E4340
3D,Cluster 13,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",3D05,Ward 3,000902,ROCK CREEK WEST,0,1,PK4-5th,Key Elementary School,1,0,0,0101000020E61000008776CC136F4653C0CAA4DAAFA1764340
7F,Cluster 32,"River Terrace, Benning, Greenway, Dupont Park",7F04,Ward 7,009901,FAR NORTHEAST AND SOUTHEAST,0,1,PK3-5th,Kimball Elementary School,1,0,0,0101000020E6100000FE483272423D53C06CA4CF5210714340
8C,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8C07,Ward 8,009804,FAR SOUTHEAST AND SOUTHWEST,0,1,PK3-5th,King Elementary School,1,0,0,0101000020E6100000BDEF4D2FE33F53C010FA146CD56B4340
6A,Cluster 25,"Union Station, Stanton Park, Kingman Park",6A05,Ward 6,008001,CAPITOL HILL,1,0,6th-12th,Kingsman Academy PCS,0,1,0,0101000020E6100000B5667D281E3F53C004162677AB724340
8C,Cluster 37,"Sheridan, Barry Farm, Buena Vista",8C06,Ward 8,007406,FAR SOUTHEAST AND SOUTHWEST,1,0,5th-8th,KIPP DC - AIM Academy PCS,0,0,0,0101000020E6100000FD46C33A3C3F53C05B9F470BA66D4340
7C,Cluster 31,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",7C02,Ward 7,007808,FAR NORTHEAST AND SOUTHEAST,1,0,PK3-KG,KIPP DC - Arts and Technology Academy PCS,1,0,0,0101000020E6100000C9EA436B2D3B53C0DEA06E9A2B724340
5D,Cluster 23,"Ivy City, Arboretum, Trinidad, Carver Langston",5D01,Ward 5,008803,UPPER NORTHEAST,1,0,9th-12th,KIPP DC - College Preparatory PCS,0,0,1,0101000020E6100000D4719AE3963F53C0202935F56D744340
5D,Cluster 23,"Ivy City, Arboretum, Trinidad, Carver Langston",5D02,Ward 5,008804,UPPER NORTHEAST,1,0,PK3-KG,KIPP DC - Connect Academy PCS,1,0,0,0101000020E61000004D6841F8CA3E53C0B63328033C744340
8C,Cluster 37,"Sheridan, Barry Farm, Buena Vista",8C06,Ward 8,007406,FAR SOUTHEAST AND SOUTHWEST,1,0,PK3-KG,KIPP DC - Discover Academy PCS,1,0,0,0101000020E6100000FD46C33A3C3F53C05B9F470BA66D4340
6E,Cluster 7,"Shaw, Logan Circle",6E02,Ward 6,004801,NEAR NORTHWEST,1,0,PK3-KG,KIPP DC - Grow Academy PCS,1,0,0,0101000020E61000003DDC38DF284153C07C82CD6677744340
8C,Cluster 37,"Sheridan, Barry Farm, Buena Vista",8C06,Ward 8,007406,FAR SOUTHEAST AND SOUTHWEST,1,0,1st-4th,KIPP DC - Heights Academy PCS,1,0,0,0101000020E6100000FD46C33A3C3F53C05B9F470BA66D4340
8C,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8C07,Ward 8,009804,FAR SOUTHEAST AND SOUTHWEST,1,0,4th-8th,KIPP DC - Honor Academy PCS,1,0,0,0101000020E6100000CAA07F619F3F53C0D2EA6825B76B4340
7F,Cluster 33,"Capitol View, Marshall Heights, Benning Heights",7F03,Ward 7,009907,FAR NORTHEAST AND SOUTHEAST,1,0,5th-8th,KIPP DC - KEY Academy PCS,0,0,0,0101000020E61000003E111D27CD3B53C00798ED2EFA704340
6E,Cluster 7,"Shaw, Logan Circle",6E02,Ward 6,004801,NEAR NORTHWEST,1,0,1st-4th,KIPP DC - Lead Academy PCS,1,0,0,0101000020E61000003DDC38DF284153C07C82CD6677744340
7F,Cluster 33,"Capitol View, Marshall Heights, Benning Heights",7F03,Ward 7,009907,FAR NORTHEAST AND SOUTHEAST,1,0,PK3-PK4,KIPP DC - LEAP Academy PCS,1,0,0,0101000020E61000003E111D27CD3B53C00798ED2EFA704340
5D,Cluster 23,"Ivy City, Arboretum, Trinidad, Carver Langston",5D02,Ward 5,008804,UPPER NORTHEAST,1,0,5th-8th,KIPP DC - Northeast Academy PCS,0,0,0,0101000020E61000004D6841F8CA3E53C0B63328033C744340
7F,Cluster 33,"Capitol View, Marshall Heights, Benning Heights",7F03,Ward 7,009907,FAR NORTHEAST AND SOUTHEAST,1,0,KG-4th,KIPP DC - Promise Academy PCS,0,0,0,0101000020E61000003E111D27CD3B53C00798ED2EFA704340
7C,Cluster 31,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",7C02,Ward 7,007808,FAR NORTHEAST AND SOUTHEAST,1,0,1st-4th,KIPP DC - Quest Academy PCS,1,0,0,0101000020E6100000C9EA436B2D3B53C0DEA06E9A2B724340
8C,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8C07,Ward 8,009804,FAR SOUTHEAST AND SOUTHWEST,1,0,9th-12th,KIPP DC - Somerset College Preparatory PCS,0,0,1,0101000020E6100000CAA07F619F3F53C0D2EA6825B76B4340
5D,Cluster 23,"Ivy City, Arboretum, Trinidad, Carver Langston",5D02,Ward 5,008804,UPPER NORTHEAST,1,0,1st-4th,KIPP DC - Spring Academy PCS,1,0,0,0101000020E61000004D6841F8CA3E53C0B63328033C744340
7C,Cluster 31,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",7C02,Ward 7,007808,FAR NORTHEAST AND SOUTHEAST,1,0,5th-8th,KIPP DC - Valor Academy PCS,0,0,0,0101000020E6100000C9EA436B2D3B53C0DEA06E9A2B724340
6E,Cluster 7,"Shaw, Logan Circle",6E02,Ward 6,004801,NEAR NORTHWEST,1,0,5th-8th,KIPP DC - WILL Academy PCS,0,0,0,0101000020E61000003DDC38DF284153C07C82CD6677744340
8A,Cluster 34,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",8A01,Ward 8,007601,FAR NORTHEAST AND SOUTHEAST,0,1,6th-8th,Kramer Middle School,0,1,0,0101000020E6100000198BEB29BB3E53C05BB4958E866F4340
3G,Cluster 10,"Hawthorne, Barnaby Woods, Chevy Chase",3G04,Ward 4,001500,ROCK CREEK WEST,0,1,PK4-5th,Lafayette Elementary School,1,0,0,0101000020E6100000364B02C25A4453C0EF7A40B2BA7B4340
5C,Cluster 22,"Brookland, Brentwood, Langdon",5C07,Ward 5,011100,UPPER NORTHEAST,0,1,PK3-5th,Langdon Elementary School,1,0,0,0101000020E61000009276D68B883E53C0CED24EF35C764340
5E,Cluster 21,"Edgewood, Bloomingdale, Truxton Circle, Eckington",5E04,Ward 5,008701,MID-CITY,0,1,PK3-5th,Langley Elementary School,1,0,0,0101000020E610000000BCA58B604053C08776544D24754340
4B,Cluster 19,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",4B09,Ward 4,009507,ROCK CREEK EAST,0,1,PK3-8th,LaSalle-Backus Education Campus,1,0,0,0101000020E61000008049E61CFE3F53C0277EA19CE07A4340
4C,Cluster 18,"Brightwood Park, Crestwood, Petworth",4C02,Ward 4,002002,ROCK CREEK EAST,1,0,PK3-5th,Latin American Montessori Bilingual PCS - Kingsbury,1,0,0,0101000020E610000083E34C222E4253C00EBE29C5B9794340
5B,Cluster 22,"Brookland, Brentwood, Langdon",5B02,Ward 5,009400,UPPER NORTHEAST,1,0,PK3-5th,Latin American Montessori Bilingual PCS - South Dakota Avenue,1,0,0,0101000020E61000004F5EA458A13E53C03DB50C31E9774340
1D,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1D04,Ward 1,002702,MID-CITY,1,0,Adult,LAYC Career Academy PCS,0,0,1,0101000020E61000004473F7215B4253C09F43E58535774340
8D,Cluster 44,Joint Base Anacostia-Bolling,8D04,Ward 8,009807,FAR SOUTHEAST AND SOUTHWEST,0,1,PK3-8th,Leckie Education Campus,1,0,0,0101000020E61000005A752142D34053C0E3349198026A4340
5E,Cluster 21,"Edgewood, Bloomingdale, Truxton Circle, Eckington",5E01,Ward 5,009201,UPPER NORTHEAST,1,0,PK3-5th,Lee Montessori PCS - Brookland,1,0,0,0101000020E61000006E02D66DED3F53C0F9665943CA764340
8A,Cluster 34,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",8A03,Ward 8,007601,FAR NORTHEAST AND SOUTHEAST,1,0,PK3-K,Lee Montessori PCS - East End,1,0,0,0101000020E6100000572AA7FA3E3E53C02B4FD9B7436F4340
