anc_id,nbh_cluster,nbh_cluster_names,smd_id,ward_name,census_tract,comp_plan_area,charter_school,public_school,grades,school_name,es,ms,hs,geography
6A,Cluster 25,"Union Station, Stanton Park, Kingman Park",6A02,Ward 6,008402,CAPITOL HILL,0,1,PK3-5th,School-Within-School,1,0,0,0101000020E610000029410D59903F53C0803377A7E3724340
2B,Cluster 5,"West End, Foggy Bottom, GWU",2B06,Ward 2,005500,NEAR NORTHWEST,0,1,PK3-8th,School Without Walls @ Francis-Stevens,1,0,0,0101000020E6100000B5F6C343594353C0E0D4723428744340
2A,Cluster 5,"West End, Foggy Bottom, GWU",2A08,Ward 2,010800,NEAR NORTHWEST,0,1,9th-12th,School Without Walls High School,0,0,1,0101000020E6100000E70B4786154353C00F13B2F9F5724340
6E,Cluster 7,"Shaw, Logan Circle",6E01,Ward 6,004901,NEAR NORTHWEST,0,1,PK3-5th,Seaton Elementary School,1,0,0,0101000020E6100000F39131B6974153C09819D1658F744340
7F,Cluster 32,"River Terrace, Benning, Greenway, Dupont Park",7F02,Ward 7,007703,FAR NORTHEAST AND SOUTHEAST,1,0,9th-12th,SEED Public Charter School of Washington DC,0,0,1,0101000020E610000097463944903C53C08DC560BA8D714340
4B,Cluster 19,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",4B07,Ward 4,009505,ROCK CREEK EAST,1,0,PK3-5th,Sela PCS,1,0,0,0101000020E610000080C15EB3784053C0808CB87E607B4340
1B,Cluster 3,"Howard University, Le Droit Park, Cardozo/Shaw",1B02,Ward 1,004400,MID-CITY,0,1, ,Shaw Middle School,0,0,0,0101000020E61000000C3037E6A54153C01E48C85C72754340
4A,Cluster 16,"Colonial Village, Shepherd Park, North Portal Estates",4A02,Ward 4,001600,ROCK CREEK EAST,0,1,PK3-5th,Shepherd Elementary School,1,0,0,0101000020E610000056B0EA032D4253C08EE6A3B9077E4340
5B,Cluster 20,"North Michigan Park, Michigan Park, University Heights",5B05,Ward 5,009504,UPPER NORTHEAST,1,0,PK3-6th,Shining Stars Montessori Academy PCS,1,0,0,0101000020E6100000F36D026B4A3F53C0AC9DEF3E24784340
8C,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8C07,Ward 8,009804,FAR SOUTHEAST AND SOUTHWEST,0,1,PK3-5th,Simon Elementary School,1,0,0,0101000020E6100000BF33643B034053C04CE86EA7016B4340
7D,Cluster 30,"Mayfair, Hillbrook, Mahaning Heights",7D05,Ward 7,007803,FAR NORTHEAST AND SOUTHEAST,0,1,PK3-5th,Smothers Elementary School,1,0,0,0101000020E6100000FF8636E80F3C53C04B72103960724340
5A,Cluster 19,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",5A08,Ward 5,009508,UPPER NORTHEAST,1,0,5th,Social Justice PCS,0,0,0,0101000020E61000004FD2AF842A4053C06BE57A822A7A4340
7F,Cluster 32,"River Terrace, Benning, Greenway, Dupont Park",7F04,Ward 7,007703,FAR NORTHEAST AND SOUTHEAST,0,1,6th-8th,Sousa Middle School,0,1,0,0101000020E610000025D96B97003D53C0F1C23BB223714340
8B,Cluster 36,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",8B02,Ward 8,007502,FAR SOUTHEAST AND SOUTHWEST,0,1,PK3-5th,Stanton Elementary School,1,0,0,0101000020E6100000A0FEE8C7FB3D53C04B5059DFFC6D4340
8D,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8D07,Ward 8,009810,FAR SOUTHEAST AND SOUTHWEST,1,0,4th-6th,Statesmen College Preparatory Academy for Boys PCS,1,0,0,0101000020E6100000455CB49C324053C06E877AED75694340
7F,Cluster 26,"Capitol Hill, Lincoln Park",7F07,Ward 7,006804,CAPITOL HILL,1,0,SPED,St. Coletta Special Education PCS,0,0,0,0101000020E6100000342E13E1813E53C0F58DB29090714340
2A,Cluster 6,"Dupont Circle, Connecticut Avenue/K Street",2A06,Ward 2,010700,NEAR NORTHWEST,0,1,PK3-PK4,Stevens Early Learning Center,1,0,0,0101000020E610000095675655FF4253C0C9DB7F139B734340
3B,Cluster 14,"Cathedral Heights, McLean Gardens, Glover Park",3B03,Ward 3,000702,ROCK CREEK WEST,0,1,PK4-5th,Stoddert Elementary School,1,0,0,0101000020E610000049B02D950F4553C09194409226764340
6C,Cluster 25,"Union Station, Stanton Park, Kingman Park",6C04,Ward 6,008301,CAPITOL HILL,0,1,6th-8th,Stuart-Hobson Middle School,0,1,0,0101000020E610000079D2E61B004053C021009D20BA724340
4B,Cluster 17,"Takoma, Brightwood, Manor Park",4B01,Ward 4,010300,ROCK CREEK EAST,0,1,PK3-8th,Takoma Education Campus,1,0,0,0101000020E61000007E746F82754153C0149C1B73CE7C4340
5C,Cluster 22,"Brookland, Brentwood, Langdon",5C02,Ward 5,011100,UPPER NORTHEAST,1,0,KG-8th,The Children's Guild DC Public Charter School,0,0,0,0101000020E6100000645EE336383E53C0D46A5CA6D9754340
1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A05,Ward 1,002802,MID-CITY,1,0,Adult,The Family Place PCS,0,0,1,0101000020E61000001C8E33B54E4253C0701A413E49774340
1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A03,Ward 1,002802,MID-CITY,1,0,Adult,The Next Step/ El Prόximo Paso PCS,0,0,1,0101000020E6100000310BEF424B4253C038EA8EBFD9764340
5B,Cluster 22,"Brookland, Brentwood, Langdon",5B02,Ward 5,009400,UPPER NORTHEAST,1,0,6th-7th,The Sojourner Truth PCS,0,1,0,0101000020E61000004F5EA458A13E53C03DB50C31E9774340
7D,Cluster 30,"Mayfair, Hillbrook, Mahaning Heights",7D07,Ward 7,009602,FAR NORTHEAST AND SOUTHEAST,0,1,PK3-5th,Thomas Elementary School,1,0,0,0101000020E61000006BF0116CEF3C53C04FF0875A5D734340
2F,Cluster 8,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2F08,Ward 2,010100,CENTRAL WASHINGTON,0,1,PK3-5th,Thomson Elementary School,1,0,0,0101000020E6100000D256C4D5D14153C008822103A6734340
8A,Cluster 37,"Sheridan, Barry Farm, Buena Vista",8A06,Ward 8,007401,FAR SOUTHEAST AND SOUTHWEST,1,0,9th-12th,Thurgood Marshall Academy PCS,0,0,1,0101000020E61000006AF0C695983F53C038B7D3565F6E4340
4D,Cluster 18,"Brightwood Park, Crestwood, Petworth",4D04,Ward 4,002101,ROCK CREEK EAST,0,1,PK3-8th,Truesdell Elementary School,1,0,0,0101000020E6100000941C63CF9A4153C0251E02E41B7A4340
1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A06,Ward 1,003000,MID-CITY,0,1,PK3-5th,Tubman Elementary School,1,0,0,0101000020E6100000E5A0B76FE24153C072CA1F39F0764340
8E,Cluster 38,"Douglas, Shipley Terrace",8E02,Ward 8,007404,FAR SOUTHEAST AND SOUTHWEST,0,1,PK3-5th,Turner Elementary School,1,0,0,0101000020E61000003643546FBD3E53C054D87F8E7F6C4340
6C,Cluster 25,"Union Station, Stanton Park, Kingman Park",6C06,Ward 6,010600,CENTRAL WASHINGTON,1,0,6th-8th,Two Rivers PCS at 4th Street,0,1,0,0101000020E610000085B511720F4053C05FA124D605744340
5D,Cluster 23,"Ivy City, Arboretum, Trinidad, Carver Langston",5D04,Ward 5,008904,UPPER NORTHEAST,1,0,PK3-8th,Two Rivers PCS at Young,1,0,0,0101000020E6100000C2337671283E53C08C923D6C58734340
6B,Cluster 26,"Capitol Hill, Lincoln Park",6B04,Ward 6,007000,CAPITOL HILL,0,1,PK3-5th,Tyler Elementary School,1,0,0,0101000020E61000004CF0D3A57D3F53C04AD5C89DC7704340
6D,Cluster 27,"Near Southeast, Navy Yard",6D07,Ward 6,007200,LOWER ANACOSTIA WATERFRONT AND NEAR SOUTHWEST,0,1,PK3-2nd,Van Ness Elementary School,1,0,0,0101000020E610000062F463A4F33F53C0934957193B704340
6E,Cluster 8,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",6E07,Ward 6,004701,CENTRAL WASHINGTON,0,1,PK3-8th,Walker-Jones Education Campus,1,0,0,0101000020E61000008C11EB08E44053C06AF184CFBC734340
6D,Cluster 9,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",6D01,Ward 6,010200,CENTRAL WASHINGTON,1,0,6th-8th,Washington Global Public Charter School,0,1,0,0101000020E61000001F833B3B404153C05BA56D0A2B714340
4D,Cluster 18,"Brightwood Park, Crestwood, Petworth",4D02,Ward 4,002102,ROCK CREEK EAST,1,0,5th-8th,Washington Latin PCS - Middle School,0,0,0,0101000020E61000000B43CC72E24053C03B6D1347197A4340
4D,Cluster 18,"Brightwood Park, Crestwood, Petworth",4D02,Ward 4,002102,ROCK CREEK EAST,1,0,9th-12th,Washington Latin PCS - Upper School,0,0,1,0101000020E61000000B43CC72E24053C03B6D1347197A4340
