,tweet,lat,lng,sentiment
42,Stabbing Investigation at the intersection of BENNING RD NE/EAST CAPITOL ST @ 2045 hrs in the block. Lookout for 2 https://t.co/NqpwrvBInX,38.8899003,-76.93759779999999,-0.6
43,"Robbery Investigation at 4800 Block of Texas Ave SE,   Lookout is for a B/M wearing a Blue Shirt, Blue Pants with  https://t.co/MWtl2cj9fs",38.889462,-76.938656,0.0
44,DC Water reports a water outage at Brentwood Road and T Street NE for 8 to 10 hours due to utility repairs. Updates https://t.co/eZyxwOpQx6,38.9155661,-76.9952123,-0.125
45,"US Capitol Police reports that 1st St between C St and D St NE is closed  September 19th - 20th, 2020 due to street https://t.co/PzKR37uNUD",38.8899389,-77.0090505,-0.075
46,"DC Water reports repairs are complete and the 1400 block of Howard Road SE, between High and West Streets is now op https://t.co/FMiFmlM5ZP",38.8602672,-76.9901933,0.13
47,"MPD reports the police activity has cleared and the 1800 block of Benning Road, NE, is now open to traffic. https://t.co/Ga4uqVFnp6",38.89929550000001,-76.9773661,0.0
48,"MPD reports the police activity has cleared and the 2300 block of Ainger Place, SE, is now open to traffic. https://t.co/ciUQilxE6M",38.8582145,-76.9734618,0.0
49,MPD reports I-695 Southbound at 8th Street SE is closed due to a vehicle crash.  Please use alternate routes until  https://t.co/sYCYOL1ooC,39.3110849,-76.5028533,-0.1125
50,U.S. Capitol Police reports the police activity is cleared and First Street SE between Independence Avenue SE and C https://t.co/FcIIv0qUut,38.8899389,-77.0090505,0.25
51,MPD reports the 1800 block of Benning Road NE is closed due to police activity. Please use alternate routes. https://t.co/cErApBz3fY,38.89929550000001,-76.9773661,-0.1125
52,U.S. Capitol Police reports 1st St SE between Independence Ave SE and Constitution Ave NE is closed in both directi https://t.co/qWO2jN2PrE,38.8899389,-77.0090505,-0.1
53,MPD reports a road closure in the 2300 block of Ainger Place SE between Bruce Place and Alabama Avenue SE due to po https://t.co/ne0K3mV9rY,38.8582145,-76.9734618,-0.125
54,"Shooting in the 2300 Ainger Place SE, Lookout for silver 2 door sedan heavy tint bearing VA registration 
DO NOT T https://t.co/dc1d3LjlTE",38.8582145,-76.9734618,-0.2
55,"Robbery Investigation at Georgia Ave NW and Underwood St NW. Lookout for 2 Juvenile B/M's, wearing dark clothing w https://t.co/mly2XTv9Ap",38.9689787,-77.02734699999999,-0.2
56,WMATA reports U Street Station has re-opened.Trains are now servicing the station. https://t.co/fDb3mTifi6,38.9169124,-77.0292187,0.0
57,"MPD reports the southbound lanes in the 3400 block of South Dakota Ave, NE between Monroe Street and Lawrence St, N https://t.co/gQlxo9bnpE",38.9323166,-76.9729247,0.0
58,U.S. Capitol Police reports the police activity has cleared and all associated road closures are now reopened to tr https://t.co/OYZWhXBUbp,38.8899389,-77.0090505,0.0
59,WMATA reports shuttle bus service is available between U Street and Shaw-Howard Stations. https://t.co/yL6XD20YCc,38.914482,-77.0217859,0.4
60,"U.S. Capitol Police reports the following road closures due to police activity:

3rd Street SW to Maryland Avenue S https://t.co/hiCSLoc4ek",38.8899389,-77.0090505,-0.041666666666666664
61,WMATA reports trains are temporarily bypassing U Street station as a safety precaution. Shuttle bus service request https://t.co/zodAgwrNb5,38.9169124,-77.0292187,0.0
62,Metro reports the Ft Totten Station has re- open. Trains are now servicing the station. https://t.co/9csX1JH4bf,38.9518011,-77.0021518,0.0
