,object_id,install_year,count,ward,location,lat,lng
0,1,FY-08,2,4,600 Farragut St. NW,38.950811672467474,-77.02025688176386
1,2,FY-08,2,4,300 Gallatin St. NW,38.95205518618174,-77.01613093442475
2,3,FY-08,2,5,Unit Blk R Street NW,38.91281408439998,-77.01261547337147
3,4,FY-08,2,5,Unit  BLK S Street NW (2) Tables,38.91395474150063,-77.0124168901951
4,5,FY-08,2,5,Unit & 100 BLK Quincy St NE (2) 12FT,38.912017447587154,-77.00630189025766
5,6,FY-08,2,5,Unit & 100 BLK Q St NE (2) 22FT,38.91082186744991,-77.00617126561592
6,7,FY-08,2,5,Unit  Blk Quincy Pl NW (12),38.912017447587154,-77.00630189025766
7,8,FY-08,2,5,100 Blk Adams St. NW,38.92024034467481,-77.01285053013181
8,9,FY-08,2,5,Unit Blk Adams St. NW,38.92023867276705,-77.01059801344364
9,10,FY-08,2,5,2300 Blk 15th Street NE,38.92121961964329,-76.98268741940005
10,11,FY-08,2,5,2700 Blk 10th St. NE ,38.92505544868781,-76.99242800191662
11,12,FY-08,2,5,1300 Blk Lawrence St. NE btw 13th & 14th,38.93173514542845,-76.98744694806535
12,13,FY-08,2,5,400 Blk Jefferson St NW,38.95541397773299,-77.01880147441562
13,14,FY-08,2,6,Unit blk Randolph pl NW  (2) 22ft,38.913164232335404,-77.01267284102242
14,15,FY-08,2,6,"15th Street , F Street & Tenn Ave NE (raised cross walk)",38.89769995040918,-76.98365490739347
15,16,FY-08,2,6,1500 Islamic Way,38.90907528522658,-77.03707464497175
16,17,FY-08,2,6,1200 Blk Potomac Ave SE,38.87879961845049,-76.98928022608092
17,18,FY-08,2,6,"1300 Blk Potomac Ave SE  (22"") ",38.879008725724184,-76.9880384986126
18,19,FY-08,2,7,200 Blk 50th St SE (2),38.88596187224885,-76.93079876645987
19,20,FY-08,2,7,4900 Blk B St SE (2),38.886821061737024,-76.93151647621477
20,21,FY-08,2,7,5000 Blk Bass Pl SE (2),38.885842289233054,-76.92938102321617
21,22,FY-08,2,7,1700 Blk Gainesville St SE (2),38.85516860435398,-76.98063499853143
22,23,FY-08,2,7,2100 Blk 31st Street SE  (12'),38.86440620708347,-76.9628417011525
23,24,FY-08,2,7,400 Blk 20th St NE   (12'),38.895245015212396,-76.97641901217882
24,25,FY-08,2,7,3400 Dix St. NE,38.894960207973675,-76.9569618084462
25,26,FY-08,2,7,3300 Clay St NE,38.89375080029858,-76.95938290137657
26,27,FY-08,2,7,Unit Blk Elmira St. SW,38.82587436407449,-77.01013206874546
27,28,FY-08,2,7,3600 Blk Bangor St. SE,38.860583214161224,-76.95467727973264
28,29,FY-08,2,8,18th & Good Hope Rd (2),38.86567303350679,-76.97901665427545
29,30,FY-08,2,8,Unit Blk Galveston Pl SW (2),38.8236090889976,-77.00889224598016
30,31,FY-08,3,1,700 Blk Princeton PL NW,38.935411336736344,-77.02264417831226
31,32,FY-08,3,4,Unit Blk Sheridan St. NW,38.96642645386072,-77.00990311951146
32,33,FY-08,3,5,Unit BLK Seaton Place NW (3) 12FT,38.91483186203814,-77.0084026642038
33,34,FY-08,3,5,Unit Blk T Street NW (12),38.91577067434881,-77.01294773596406
34,35,FY-08,3,5,Farragut Pl. Betw. 6th St & S. Dakota Ave,38.95161039236614,-76.9954741940096
35,36,FY-08,3,5,Farraday Pl btw 6th St & S. Dakota Ave NE,38.95117896307271,-76.99491297202353
36,37,FY-08,3,6,200 Blk 18th Street SE ,38.887226927125,-76.97899682096644
37,38,FY-08,3,7,55th ST Bet James PL & Eastern AV NE (3),38.89968001597055,-76.92181898143379
38,39,FY-08,3,7,4900 Blk C St SE (3),38.885467868941404,-76.93179947760468
39,40,FY-08,3,7,5100 Blk H St SE (3),38.878464477064824,-76.92902081495338
40,41,FY-08,3,7,Hayes St. NE between 50th Pl. & Division Ave,38.89989908276457,-76.92509343698731
41,42,FY-08,3,8,3400 Blk 24th ST Se (3),38.848165460261946,-76.97008644771877
42,43,FY-08,3,8,2900 Blk Pomeroy Rd SE (3),38.85663491178398,-76.99636976447519
43,44,FY-08,3,8,300 Blk Parkland Pl.,38.84468514470959,-76.99987500671199
44,45,FY-08,3,8,Unit Blk Galveston Pl SW,38.82439448570366,-77.00971664467991
45,46,FY-08,4,4,1300 Blk Tuckerman St. NW (4),38.96757198553016,-77.03155409691713
46,47,FY-08,4,5,500 Blk 48th St NE (4),38.89575398918769,-76.93424821336444
47,48,FY-08,4,5,Emerson St NE btw 6th St. & 8th St.,38.950052390162234,-76.99495862073063
48,49,FY-08,4,7,3600 & 3700 Blk Camden St SE (4),38.860331988427625,-76.95289215955839
49,50,FY-08,4,7,20th & R Street SE  (12),38.91261264829391,-77.04487543393006
50,51,FY-08,4,7,4300 C Street SE ,38.88713769650631,-76.94630532830557
51,52,FY-08,4,7,2100- 2300 Nicholson Place SE,38.87413825179079,-76.97457073464673
52,53,FY-08,4,7,3200 O St. SE,38.871653622400096,-76.96028221990822
53,54,FY-08,4,8,3300 Blk Brothers Pl SE (4),38.84294861930218,-77.00350886284886
54,55,FY-08,5,5,"26th Street Bet. Benning Road & i (Eye) Street, NE (22"")",38.90064549690737,-76.97023251751155
55,56,FY-08,5,6,3000 Blk Clinton St. NE,38.93071934655623,-76.9648143368908
56,57,FY-08,6,6,Unit - 200 Blk N St. NW,38.90709049876352,-77.01380198304349
57,58,FY-08,6,6,1200-1400 Blk E Street SE  (12'),38.88303255275555,-76.98531136279908
58,59,FY-09,1,3,3700 Jenifer St. NW ,38.958833838054794,-77.07022461090443
59,60,FY-09,1,3,"2800 Block of 36th Street, NW",38.92657181854626,-77.07088744146583
60,61,FY-09,1,3,3600 Block of Fulton St. between 36th St and 36th Pl,38.92619047128986,-77.07144915169059
61,62,FY-09,1,3,3600 Block of Fulton St. between 36th Pl and Wis Ave.,38.92618897508627,-77.07260061818256
62,63,FY-09,1,3,"2800 Block of 36th Street, NW",38.92657181854626,-77.07088744146583
63,64,FY-09,1,3,"3500 Block of Fulton Street, NW",38.92618954642549,-77.06924240681633
64,65,FY-09,1,3,4100 Harrison Street  NW,38.956830669778135,-77.08069316546761
65,66,FY-09,1,4,600 Tuckerman St. NW,38.96712247320593,-77.02130580274373
66,67,FY-09,1,4,100 Tuckerman Street NE,38.96734616767825,-77.00700686094794
67,68,FY-09,1,4,5600  Blk. Of  1 st  Street  NE,38.95782963336001,-77.0060120807083
68,69,FY-09,1,4,1400-1500 Blk. Underwood Street,38.9688580221217,-77.03505139996224
69,70,FY-09,1,4,1200 Blk. Hamilton Street  NW,38.952912239869356,-77.02863674575642
70,71,FY-09,1,4,6700 Luzon Ave. NW,38.9714598291447,-77.03206295978346
71,72,FY-09,1,5,14TH Street NE bet. Adams & Downing Place,38.92091754947007,-76.9838747982846
72,73,FY-09,1,5,300 blk. Of W Street  NE,38.91918190967556,-77.00130802379758
73,74,FY-09,1,5,3100 10th St NE bet.Irving and Jackson street,38.92900451208939,-76.99243999926728
74,75,FY-09,1,5,Lawrence Street NE bet. 14th and 15th Street,38.931890015577046,-76.98435994724971
75,76,FY-09,1,5,Lawrence Street NE bet. 14th and 15th Street,38.931890015577046,-76.98435994724971
76,77,FY-09,1,5,Lawrence Street NE  bet. 14th & 15th Street,38.931890015577046,-76.98435994724971
77,78,FY-09,1,5,10th Street NE bet. Irving & Jackson St (3100 Blk),38.92900451208939,-76.99243999926728
78,79,FY-09,1,7,Morris Rd./ SE 17th Street to Bruce PL. SE,38.85726406982253,-76.9808003179866
79,80,FY-09,1,7,5900 Blk. Of Clay Place NE,38.892904288142546,-76.915725369285
80,81,FY-09,1,7,"3700 Block of Bangor Street, SE",38.86208240306886,-76.95359514909308
81,82,FY-09,1,7,200 Blk. Of 62th Street  NE,38.89243891239545,-76.91229846488933
82,83,FY-09,1,8,Mississippi Ave from Wheeler Rd to 13th St SE,38.83983762553577,-76.98850764235821
83,84,FY-09,1,8,Morris Rd./ SE 17th Street to Bruce PL. SE,38.85726406982253,-76.9808003179866
84,85,FY-09,1,8,Morris Rd./Erie St. SE form Pomeroy to Bruce PL. SE,38.85736272117393,-76.98519313615687
85,86,FY-09,1,8,Morris Rd./Erie St. SE from Pomeroy to Bruce PL. SE,38.85736272117393,-76.98519313615687
86,87,FY-09,1,8,100 Blk Elmira St. SW,38.82606118956701,-77.0106452640628
87,88,FY-09,1,8,Unit Blk. Of Darrington Street SW,38.827005252470954,-77.01064673137331
88,89,FY-09,1,8,Mississippi Ave from 6th St to 7th St SE,38.837989201951174,-76.99748313733791
89,90,FY-09,2,2,1300 5th St NW,38.90724499262927,-77.01893972844123
90,91,FY-09,2,3,4400 blk Newark St. NW,38.934563702767086,-77.08754764990134
91,92,FY-09,2,3,"2700 Block of 35th Street, NW",38.92576408100936,-77.0686357538878
92,93,FY-09,2,4,5800 4th St NW,38.960386961389055,-77.01778344128957
93,94,FY-09,2,4,300-400 Blk. Of  Quackenbos Street  NE,38.96396141010833,-77.00256534358978
